Date,Open,High,Low,Close,Adj Close
2019-09-30,16.200001,16.265333,15.740667,16.058001,16.058001
2019-10-01,16.1,16.396667,15.942,16.312668,16.312668
2019-10-02,16.219334,16.309999,15.962,16.208668,16.208668
2019-10-03,15.457333,15.632,14.952,15.535333,15.535333
2019-10-04,15.440667,15.652,15.204667,15.428667,15.428667
2019-10-07,15.32,15.904,15.236667,15.848,15.848
2019-10-08,15.724667,16.262667,15.633333,16.003332,16.003332
2019-10-09,16.087999,16.486668,16.043333,16.302,16.302
2019-10-10,16.351999,16.618668,16.105333,16.316,16.316
2019-10-11,16.476667,16.738667,16.454,16.525999,16.525999
2019-10-14,16.526667,17.236668,16.475332,17.130667,17.130667
2019-10-15,17.18,17.333332,16.941334,17.192667,17.192667
2019-10-16,17.159332,17.473333,17.128,17.316668,17.316668
2019-10-17,17.5,17.652,17.344667,17.464666,17.464666
2019-10-18,17.379999,17.52,17.006666,17.129999,17.129999
2019-10-21,17.222,17.299999,16.678667,16.9,16.9
2019-10-22,16.954666,17.222,16.723333,17.038668,17.038668
2019-10-23,16.966667,17.076,16.756666,16.978666,16.978666
2019-10-24,19.891333,20.328667,19.280001,19.978666,19.978666
2019-10-25,19.848,22,19.740667,21.875334,21.875334
2019-10-28,21.836,22.722668,21.506666,21.847334,21.847334
2019-10-29,21.332666,21.620001,20.983334,21.081333,21.081333
2019-10-30,20.866667,21.252666,20.664667,21.000668,21.000668
2019-10-31,20.873333,21.266666,20.866667,20.994667,20.994667
2019-11-01,21.087999,21.098667,20.653334,20.887333,20.887333
2019-11-04,20.986668,21.462667,20.617332,21.164667,21.164667
2019-11-05,21.308001,21.567333,21.074667,21.148001,21.148001
2019-11-06,21.200001,21.781334,20.966667,21.771999,21.771999
2019-11-07,21.942667,22.766666,21.868,22.369333,22.369333
2019-11-08,22.299999,22.497334,22.166668,22.476,22.476
2019-11-11,22.93,23.279333,22.799999,23.006001,23.006001
2019-11-12,23.126667,23.358,22.936001,23.328667,23.328667
2019-11-13,23.666668,23.755333,23.011999,23.073999,23.073999
2019-11-14,23.073999,23.589333,22.860666,23.290001,23.290001
2019-11-15,23.375999,23.52,23.224001,23.478001,23.478001
2019-11-18,23.528,23.543333,23.073334,23.332666,23.332666
2019-11-19,23.450001,23.999332,23.186666,23.968,23.968
2019-11-20,24,24.08,23.304667,23.481333,23.481333
2019-11-21,23.634001,24.056,23.6,23.655333,23.655333
2019-11-22,22.677334,22.733334,22,22.202667,22.202667
2019-11-25,22.954666,22.971333,22.297333,22.422667,22.422667
2019-11-26,22.351334,22.366667,21.806667,21.927999,21.927999
2019-11-27,22.074667,22.261999,21.904667,22.086,22.086
2019-11-29,22.073999,22.084,21.833332,21.996,21.996
2019-12-02,21.959999,22.425333,21.912666,22.324667,22.324667
2019-12-03,22.174667,22.527332,22.146,22.413334,22.413334
2019-12-04,22.516666,22.524,22.190001,22.202,22.202
2019-12-05,22.188667,22.294666,21.816668,22.024668,22.024668
2019-12-06,22.333332,22.590668,22.318001,22.392668,22.392668
2019-12-09,22.439333,22.963333,22.338667,22.635332,22.635332
2019-12-10,22.664,23.382,22.620667,23.256001,23.256001
2019-12-11,23.458668,23.812668,23.406,23.513332,23.513332
2019-12-12,23.661333,24.182667,23.548668,23.978666,23.978666
2019-12-13,24.07,24.347334,23.642668,23.892668,23.892668
